"Shoe","Coup","Player card 1","Player card 2","Player card 3","Banker card 1","Banker card 2","Banker card 3","Player total","Banker total","Winner","Pair outcome"
3,243,"2","9","8","3","8","4","9","5","Player","No pair"
3,244,"2","J",NA,"8","Q",NA,"2","8","Banker","No pair"
3,245,"3","7","7","8","9",NA,"7","7","Tie","No pair"
3,246,"6","10",NA,"9","4","9","6","2","Player","No pair"
3,247,"5","10","4","4","7","9","9","0","Player","No pair"
3,248,"K","A","5","2","2","3","6","7","Banker","Banker pair"
4,249,"2","4",NA,"Q","3","2","6","5","Player","No pair"
4,250,"5","J",NA,"9","K",NA,"5","9","Banker","No pair"
4,251,"3","3",NA,"3","6",NA,"6","9","Banker","Player pair"
4,252,"Q","Q","K","K","5",NA,"0","5","Banker","Player pair"
4,253,"5","4",NA,"6","Q",NA,"9","6","Player","No pair"
4,254,"A","J","3","K","A","4","4","5","Banker","No pair"
4,255,"5","6","K","2","J","A","1","3","Banker","No pair"
4,256,"A","8",NA,"3","9",NA,"9","2","Player","No pair"
4,257,"4","5",NA,"7","9",NA,"9","6","Player","No pair"
4,258,"7","J",NA,"Q","A","3","7","4","Player","No pair"
4,259,"6","2",NA,"6","9",NA,"8","5","Player","No pair"
4,260,"A","J","4","A","4","9","5","4","Player","No pair"
4,261,"10","A","J","K","2","A","1","3","Banker","No pair"
4,262,"2","Q","A","8","8",NA,"3","6","Banker","Banker pair"
4,263,"K","A","3","Q","7",NA,"4","7","Banker","No pair"
4,264,"J","3","4","4","2",NA,"7","6","Player","No pair"
4,265,"6","A",NA,"4","Q","8","7","2","Player","No pair"
4,266,"3","K",NA,"Q","8",NA,"3","8","Banker","No pair"
4,267,"10","10",NA,"9","9",NA,"0","8","Banker","Player and banker pair"
4,268,"4","K",NA,"4","4",NA,"4","8","Banker","Banker pair"
4,269,"7","2",NA,"10","J",NA,"9","0","Player","No pair"
4,270,"10","2",NA,"K","8",NA,"2","8","Banker","No pair"
4,271,"7","5","10","10","A","Q","2","1","Player","No pair"
4,272,"J","4","2","5","A",NA,"6","6","Tie","No pair"
4,273,"9","J",NA,"7","9",NA,"9","6","Player","No pair"
4,274,"3","6",NA,"10","Q",NA,"9","0","Player","No pair"
4,275,"7","9",NA,"7","J",NA,"6","7","Banker","No pair"
4,276,"K","5",NA,"J","9",NA,"5","9","Banker","No pair"
4,277,"6","J",NA,"5","K","K","6","5","Player","No pair"
4,278,"9","A","8","6","K",NA,"8","6","Player","No pair"
4,279,"J","7",NA,"8","J",NA,"7","8","Banker","No pair"
4,280,"K","8",NA,"A","8",NA,"8","9","Banker","No pair"
4,281,"6","J",NA,"3","2","4","6","9","Banker","No pair"
4,282,"8","9",NA,"9","9",NA,"7","8","Banker","Banker pair"
4,283,"6","3",NA,"6","K",NA,"9","6","Player","No pair"
